Word	Count
misforstå	1
uttrykt	1
vurderes	1
glipper	1
skyve	1
befolket	1
knele	1
ferdes	1
bedømme	1
angrer	1
meldte	1
tårner	1
isolert	1
kastet	1
jaget	1
innsette	1
knuse	1
utfolde	1
forplante	1
bodd	1
hisser	1
steilt	1
presterer	1
nytte	1
inneholder	1
engasjerte	1
tørre	1
stykket	1
annonseres	1
forfedres	1
stemmer	1
hindret	1
kvistet	1
avslutte	1
tegnet	1
frafall	1
møttes	1
trengte	1
symbolisere	1
gifte	1
ba	1
mette	1
speile	1
forankret	1
begeistret	1
fundamentet	1
offentliggjort	1
nektet	1
styresett	1
flytte	1
frarøve	1
opprørt	1
programfestet	1
selges	1
trøstet	1
pusses	1
tapes	1
smittet	1
utsatt	1
interessere	1
mediesamfunnet	1
drept	1
kjøres	1
sture	1
overtar	1
spørs	1
regjere	1
strir	1
planlegger	1
byr	1
forvaltes	1
strømmer	1
arbeidsuføre	1
talenter	1
arrangert	1
jager	1
bidragsyter	1
tilbragte	1
begrense	1
ver	1
smitter	1
skille	1
vekker	1
felles	1
oppdager	1
drikker	1
omgir	1
innhentet	1
preges	1
reduseres	1
inntrykket	1
innse	1
tråkkes	1
gjennomført	1
slutte	1
skades	1
varer	1
beveger	1
registrerer	1
drive	1
endres	1
avlagt	1
mangler	1
øvd	1
berøres	1
sammenliknet	1
plager	1
gjentas	1
tjenestegjør	1
kalle	1
aner	1
håndterer	1
elsker	1
skaffer	1
fornyet	1
utøves	1
medelever	1
rydde	1
mobbe	1
avklart	1
gods	1
støtter	1
spurte	1
trues	1
jobber	1
påføres	1
låner	1
åpne	1
fremstå	1
forandre	1
trakk	1
forestå	1
sover	1
vedtok	1
koste	1
skue	1
godes	1
innesluttet	1
fostret	1
lønnes	1
mang	1
planlagt	1
forbilder	1
beholdt	1
skremmes	1
fatte	1
senket	1
treffe	1
grepet	1
passer	1
speide	1
river	1
inviteres	1
vedstå	1
tale	1
ivaretar	1
etterlyse	1
flyulykker	1
